Filename	File.type	Source	Authorship	Species	Specimen_type	Specimen	Architecture	Trait	State	Notes
DSC_0482.jpg	JPG	SSW22-NH5-MOC4-Net3-Pegea socia	Kevin DuClos	Pegea socia	FreshSpecimen	13	Transversal	DV_Zooid.stolon.angle	88.60	
IMG0007	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D15-Caff-B-1	Whorl	DV_Zooid.stolon.angle	90.28	
IMG0007	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D15-Caff-B-1	Whorl	DV_Zooid.stolon.angle	86.68	
IMG0007	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D15-Caff-B-1	Whorl	DV_Zooid.stolon.angle	92.28	
IMG0016	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D15-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	82.75	
IMG0016	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D15-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	85.27	
IMG0016	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D15-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	60.00	
IMG0062	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	FreshSpecimen	D16-Csew-B-1	Cluster	DV_Zooid.stolon.angle	78.95	
IMG0062	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	FreshSpecimen	D16-Csew-B-1	Cluster	DV_Zooid.stolon.angle	75.79	
IMG0062	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	FreshSpecimen	D16-Csew-B-1	Cluster	DV_Zooid.stolon.angle	52.58	
IMG0089	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D17-Caff-B-1	Whorl	DV_Zooid.stolon.angle	85.15	
IMG0089	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D17-Caff-B-1	Whorl	DV_Zooid.stolon.angle	86.91	
IMG0089	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D17-Caff-B-1	Whorl	DV_Zooid.stolon.angle	88.00	
IMG0097	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D17-Caff-B-2	Whorl	DV_Zooid.stolon.angle	86.09	
IMG0097	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D17-Caff-B-2	Whorl	DV_Zooid.stolon.angle	89.75	
IMG0097	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa affinis	FreshSpecimen	D17-Caff-B-2	Whorl	DV_Zooid.stolon.angle	86.62	
Img0108	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D18-Icyl-B-1	Linear	DV_Zooid.stolon.angle	19.53	
Img0108	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D18-Icyl-B-1	Linear	DV_Zooid.stolon.angle	16.98	
Img0108	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D18-Icyl-B-1	Linear	DV_Zooid.stolon.angle	20.13	
Img0124	JPG	Kona April 2022	Alejandro Damian-Serrano	Thalia longicauda	FreshSpecimen	D20-Tlon-B-1	Oblique	DV_Zooid.stolon.angle	46.15	
Img0124	JPG	Kona April 2022	Alejandro Damian-Serrano	Thalia longicauda	FreshSpecimen	D20-Tlon-B-1	Oblique	DV_Zooid.stolon.angle	50.12	
Img0124	JPG	Kona April 2022	Alejandro Damian-Serrano	Thalia longicauda	FreshSpecimen	D20-Tlon-B-1	Oblique	DV_Zooid.stolon.angle	49.30	
DSC_0904	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D24-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	87.54	
DSC_0904	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D24-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	89.98	
DSC_0904	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D24-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	88.47	
DSC_0924	JPG	Kona April 2022	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D24-Szon-B-1	Linear	DV_Zooid.stolon.angle	1.56	
DSC_0924	JPG	Kona April 2022	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D24-Szon-B-1	Linear	DV_Zooid.stolon.angle	1.89	
DSC_0924	JPG	Kona April 2022	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D24-Szon-B-1	Linear	DV_Zooid.stolon.angle	1.84	
DSC_0951	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa fusiformis	FreshSpecimen	D24-Sfus-B-1	Linear	DV_Zooid.stolon.angle	17.80	
DSC_0951	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa fusiformis	FreshSpecimen	D24-Sfus-B-1	Linear	DV_Zooid.stolon.angle	18.77	
DSC_0977	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D26-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	88.85	
DSC_0977	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D26-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	85.27	
DSC_0977	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D26-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	86.44	
DSC_0970	JPG	Kona April 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D25-Psp-B-1	Transversal	DV_Zooid.stolon.angle	87.46	
DSC_0970	JPG	Kona April 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D25-Psp-B-1	Transversal	DV_Zooid.stolon.angle	88.44	
DSC_0970	JPG	Kona April 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D25-Psp-B-1	Transversal	DV_Zooid.stolon.angle	89.02	
DSC_0964	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D25-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	87.38	
DSC_0964	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D25-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	83.80	
DSC_0964	JPG	Kona April 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D25-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	85.64	
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	FreshSpecimen	D20-Sasp-B-1	Linear	DV_Zooid.stolon.angle	19.27	
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	FreshSpecimen	D20-Sasp-B-1	Linear	DV_Zooid.stolon.angle	16.91	
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	FreshSpecimen	D20-Sasp-B-1	Linear	DV_Zooid.stolon.angle	7.50	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D22-Icyl-B-2	Linear	DV_Zooid.stolon.angle	17.14	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D22-Icyl-B-2	Linear	DV_Zooid.stolon.angle	20.47	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D22-Icyl-B-2	Linear	DV_Zooid.stolon.angle	12.76	
Img0152	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	FreshSpecimen	D22-Ramb-B-1	Bipinnate	DV_Zooid.stolon.angle	9.84	"lateral view of zooid, used endostyle and tip of viscerae for angle"
Img0152	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	FreshSpecimen	D22-Ramb-B-1	Bipinnate	DV_Zooid.stolon.angle	8.56	"lateral view of zooid, used endostyle and tip of viscerae for angle"
Img0152	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	FreshSpecimen	D22-Ramb-B-1	Bipinnate	DV_Zooid.stolon.angle	10.97	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	FreshSpecimen	D27-Hyou-B-1	Helical	DV_Zooid.stolon.angle	82.20	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	FreshSpecimen	D27-Hyou-B-1	Helical	DV_Zooid.stolon.angle	79.67	
KonaJJ22-020	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Helicosalpa younti	FreshSpecimen	D27-Hyou-B-1	Helical	DV_Zooid.stolon.angle	89.92	
KonaJJ22-053	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	FreshSpecimen	D27-Ramb-B-1	Bipinnate	DV_Zooid.stolon.angle	8.34	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaJJ22-053	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	FreshSpecimen	D27-Ramb-B-1	Bipinnate	DV_Zooid.stolon.angle	9.38	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaJJ22-053	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	FreshSpecimen	D27-Ramb-B-1	Bipinnate	DV_Zooid.stolon.angle	8.30	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaJJ22-081	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D27-Psp-B-1	Transversal	DV_Zooid.stolon.angle	90.06	
KonaJJ22-081	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D27-Psp-B-1	Transversal	DV_Zooid.stolon.angle	88.86	
KonaJJ22-081	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D27-Psp-B-1	Transversal	DV_Zooid.stolon.angle	86.56	
KonaJJ22-109	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	FreshSpecimen	D28-Csew-B-1	Cluster	DV_Zooid.stolon.angle	85.20	
KonaJJ22-109	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	FreshSpecimen	D28-Csew-B-1	Cluster	DV_Zooid.stolon.angle	80.91	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaJJ22-109	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa sewelli	FreshSpecimen	D28-Csew-B-1	Cluster	DV_Zooid.stolon.angle	84.90	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaJJ22-116	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D28-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	61.60	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-116	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D28-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	59.01	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-116	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D28-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	50.16	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-146	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D29-Smax-B-1	Linear	DV_Zooid.stolon.angle	15.06	
KonaJJ22-146	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D29-Smax-B-1	Linear	DV_Zooid.stolon.angle	18.00	
KonaJJ22-218	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D30-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	91.15	
KonaJJ22-218	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D30-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	88.19	
KonaJJ22-218	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa bakeri	FreshSpecimen	D30-Cbak-B-1	Whorl	DV_Zooid.stolon.angle	80.19	"lateral view of zooid, used endostyle and tip of viscerae for angle"
KonaJJ22-372	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	FreshSpecimen	D31-Rsp-B-1	Bipinnate	DV_Zooid.stolon.angle	14.43	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-372	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	FreshSpecimen	D31-Rsp-B-1	Bipinnate	DV_Zooid.stolon.angle	10.88	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-372	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	FreshSpecimen	D31-Rsp-B-1	Bipinnate	DV_Zooid.stolon.angle	10.36	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-396	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D31-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	88.36	
KonaJJ22-396	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D31-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	89.66	
KonaJJ22-396	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D31-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	83.53	
KonaJJ22-412	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D31-Smax-B-1	Linear	DV_Zooid.stolon.angle	21.60	
KonaJJ22-412	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D31-Smax-B-1	Linear	DV_Zooid.stolon.angle	19.09	
KonaJJ22-408	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D31-Smax-B-1	Linear	DV_Zooid.stolon.angle	28.88	
KonaJJ22-481	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D31-Psp-B-1	Transversal	DV_Zooid.stolon.angle	87.10	
KonaJJ22-481	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D31-Psp-B-1	Transversal	DV_Zooid.stolon.angle	89.76	
KonaJJ22-481	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D31-Psp-B-1	Transversal	DV_Zooid.stolon.angle	87.68	
KonaJJ22-494	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ihlea punctata	FreshSpecimen	D32-Ipun-B-1	Linear	DV_Zooid.stolon.angle	23.11	
KonaJJ22-494	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ihlea punctata	FreshSpecimen	D32-Ipun-B-1	Linear	DV_Zooid.stolon.angle	25.13	
