Architecture1    Architecture2	diff	lwr	upr	p adj
Cluster	Bipinnate	0.08177315	-0.4404379	0.6039842	0.9992642
Helical	Bipinnate	-0.11212512	-1.6983662	1.4741159	0.9999931
Linear	Bipinnate	0.89583951	0.5144489	1.2772302	0.0000000
Oblique	Bipinnate	-1.04386838	-1.8862389	-0.2014979	0.0049326
Transversal	Bipinnate	-0.96860926	-1.8241158	-0.1131028	0.0149346
Whorl	Bipinnate	-0.77376216	-1.3288544	-0.2186699	0.0008206
Helical	Cluster	-0.19389828	-1.7982894	1.4104929	0.9998356
Linear	Cluster	0.81406636	0.3631018	1.2650309	0.0000026
Oblique	Cluster	-1.12564154	-2.0017113	-0.2495718	0.0029725
Transversal	Cluster	-1.05038241	-1.9390902	-0.1616746	0.0090513
Whorl	Cluster	-0.85553531	-1.4605457	-0.2505249	0.0006394
Linear	Helical	1.00796464	-0.5562685	2.5721978	0.4778466
Oblique	Helical	-0.93174326	-2.6669535	0.8034670	0.6907971
Transversal	Helical	-0.85648413	-2.5981092	0.8851409	0.7722453
Whorl	Helical	-0.66163703	-2.2770298	0.9537558	0.8901681
Oblique	Linear	-1.93970789	-2.7398658	-1.1395500	0.0000000
Transversal	Linear	-1.86444877	-2.6784242	-1.0504733	0.0000000
Whorl	Linear	-1.66960167	-2.1582652	-1.1809382	0.0000000
Transversal	Oblique	0.07525913	-1.0322991	1.1828173	0.9999945
Whorl	Oblique	0.27010623	-0.6259525	1.1661649	0.9739326
Whorl	Transversal	0.19484710	-0.7135716	1.1032658	0.9956849