Species	Bipinnate_path	Cluster_path
Salpa thompsoni	Linear	Transversal
Ritteriella retracta	Linear	Transversal
Cyclosalpa floridiana	Transversal	Whorl
Brooksia rostrata	Bipinnate	Transversal
Salpa fusiformis	Linear	Transversal
Soestia zonaria	Linear	Transversal
Cyclosalpa sewelli	Transversal	Cluster
Cyclosalpa quadriluminis	Transversal	Cluster
Salpa maxima	Linear	Transversal
Thetys vagina	Oblique	Transversal
Cyclosalpa polae	Transversal	Cluster
Iasis cylindrica	Linear	Transversal
Pegea bicaudata	Transversal	Transversal
Cyclosalpa affinis	Transversal	Whorl
Ihlea racovitzai	Linear	Transversal
Thalia democratica	Oblique	Transversal
Pegea confoederata	Transversal	Transversal
Thalia orientalis	Oblique	Transversal
Salpa aspera	Linear	Transversal
Salpa thompsoni	Linear	Transversal