Species	LRN_Zooid:Siphon	LRN_Motion:Siphon	LRN_Motion:Zooid	LRN_Zooid:Chiral	DVN_Stolon:Zooid	DVN_Stolon:Motion	DVN_Motion:Zooid	DVN_Zooid:Chiral
Salpa aspera	10	10	0	0	0	0	0	0
Thetys vagina	10	10	0	0	45	45	0	0
Brooksia rostrata	10	70	60	90	0	0	0	0
Pegea confoederata	10	10	0	0	90	90	0	0
Cyclosalpa floridiana	10	10	0	0	90	90	0	0
Cyclosalpa polae	0	0	0	0	90	90	0	0
Pegea bicaudata	10	10	0	0	90	90	0	0
Thalia democratica	10	10	0	0	45	45	0	0
Thalia orientalis	10	10	0	0	45	45	0	0
Soestia zonaria	10	10	0	0	0	0	0	0
Ihlea racovitzai	10	10	0	0	0	0	0	0
Iasis cylindrica	10	10	0	0	0	0	0	0
Cyclosalpa affinis	10	10	0	0	90	90	0	0
Cyclosalpa sewelli	0	0	0	0	90	90	0	0
Ritteriella retracta	10	10	0	0	0	0	0	0
Salpa maxima	10	10	0	0	0	0	0	0
Salpa fusiformis	10	10	0	0	0	0	0	0
Salpa thompsoni	10	10	0	0	0	0	0	0